country|latitude|longitude|utc_offset
United Arab Emirates|23.424076|53.847818|4
Antigua and Barbuda|17.060816|-61.796428|-4
Anguilla|18.220554|-63.068615|-4
Netherlands Antilles|12.226079|-69.060087|-4
Angola|-11.202692|17.873887|1
Australia|-25.274398|133.775136|9
Aruba|12.52111|-69.968338|-4
Barbados|13.193887|-59.543198|-4
Bangladesh|23.684994|90.356331|6
Burkina Faso|12.238333|-1.561593|0
Bahrain|25.930414|50.637772|3
Burundi|-3.373056|29.918886|2
Benin|9.30769|2.315834|1
Brunei|4.535277|114.727669|8
Bolivia|-16.290154|-63.588653|-4
Brazil|-14.235004|-51.92528|-4
Bahamas|25.03428|-77.39628|-4
Bhutan|27.514162|90.433601|6
Botswana|-22.328474|24.684866|2
Belize|17.189877|-88.49765|-6
Cocos [Keeling] Islands|-12.164165|96.870956|6
Congo [DRC]|-4.038333|21.758664|2
Central African Republic|6.611111|20.939444|1
Congo [Republic]|-0.228021|15.827659|1
Côte d'Ivoire|7.539989|-5.54708|0
Cook Islands|-21.236736|-159.777671|-10
Cameroon|7.369722|12.354722|1
Colombia|4.570868|-74.297333|-5
Costa Rica|9.748917|-83.753428|-6
Cuba|21.521757|-77.781167|-4
Cape Verde|16.002082|-24.013197|-1
Christmas Island|-10.447525|105.690449|7
Djibouti|11.825138|42.590275|3
Dominica|15.414999|-61.370976|-4
Dominican Republic|18.735693|-70.162651|-4
Algeria|28.033886|1.659626|1
Ecuador|-1.831239|-78.183406|-5
Egypt|26.820553|30.802498|2
Western Sahara|24.215527|-12.885834|1
Eritrea|15.179384|39.782334|3
Ethiopia|9.145|40.489673|3
Micronesia|7.425554|150.550812|10
Gabon|-0.803689|11.609444|1
Grenada|12.262776|-61.604171|-4
French Guiana|3.933889|-53.125782|-3
Ghana|7.946527|-1.023194|0
Gambia|13.443182|-15.310139|0
Guinea|9.945587|-9.696645|0
Guadeloupe|16.995971|-62.067641|-4
Equatorial Guinea|1.650801|10.267895|1
Guatemala|15.783471|-90.230759|-6
Guam|13.444304|144.793731|10
Guinea-Bissau|11.803749|-15.180413|0
Guyana|4.860416|-58.93018|-4
Hong Kong|22.396428|114.109497|8
Honduras|15.199999|-86.241905|-6
Haiti|18.971187|-72.285215|-4
Indonesia|-0.789275|113.921327|7
India|20.593684|78.96288|5
British Indian Ocean Territory|-6.343194|71.876519|5
Jamaica|18.109581|-77.297508|-5
Kenya|-0.023559|37.906193|3
Cambodia|12.565679|104.990963|7
Comoros|-11.875001|43.872219|3
Saint Kitts and Nevis|17.357822|-62.782998|-4
Kuwait|29.31166|47.481766|3
Cayman Islands|19.513469|-80.566956|-5
Laos|19.85627|102.495496|7
Saint Lucia|13.909444|-60.978893|-4
Sri Lanka|7.873054|80.771797|5
Liberia|6.428055|-9.429499|0
Lesotho|-29.609988|28.233608|2
Libya|26.3351|17.228331|2
Madagascar|-18.766947|46.869107|3
Mali|17.570692|-3.996166|0
Myanmar [Burma]|21.913965|95.956223|6
Macau|22.198745|113.543873|8
Northern Mariana Islands|17.33083|145.38469|10
Martinique|14.641528|-61.024174|-4
Mauritania|21.00789|-10.940835|0
Montserrat|16.742498|-62.187366|-4
Mauritius|-20.348404|57.552152|4
Maldives|3.202778|73.22068|5
Malawi|-13.254308|34.301525|2
Mexico|23.634501|-102.552784|-5
Malaysia|4.210484|101.975766|8
Mozambique|-18.665695|35.529562|2
Namibia|-22.95764|18.49041|2
Niger|17.607789|8.081666|1
Nigeria|9.081999|8.675277|1
Nicaragua|12.865416|-85.207229|-6
Nepal|28.394857|84.124008|5
Oman|21.512583|55.923255|4
Panama|8.537981|-80.782127|-5
Peru|-9.189967|-75.015152|-5
French Polynesia|-17.679742|-149.406843|-10
Papua New Guinea|-6.314993|143.95555|10
Philippines|12.879721|121.774017|8
Pitcairn Islands|-24.703615|-127.439308|-8
Puerto Rico|18.220833|-66.590149|-4
Palau|7.51498|134.58252|9
Paraguay|-23.442503|-58.443832|-3
Qatar|25.354826|51.183884|3
Réunion|-21.115141|55.536384|4
Rwanda|-1.940278|29.873888|2
Saudi Arabia|23.885942|45.079162|3
Seychelles|-4.679574|55.491977|4
Sudan|12.862807|30.217636|2
Singapore|1.352083|103.819836|8
Saint Helena|-24.143474|-10.030696|-1
Sierra Leone|8.460555|-11.779889|0
Senegal|14.497401|-14.452362|0
Somalia|5.152149|46.199616|3
Suriname|3.919305|-56.027783|-3
São Tomé and Príncipe|0.18636|6.613081|0
El Salvador|13.794185|-88.89653|-6
Swaziland|-26.522503|31.465866|2
Turks and Caicos Islands|21.694025|-71.797928|-4
Chad|15.454166|18.732207|1
Togo|8.619543|0.824782|0
Thailand|15.870032|100.992541|7
Timor-Leste|-8.874217|125.727539|9
Trinidad and Tobago|10.691803|-61.222503|-4
Taiwan|23.69781|120.960515|8
Tanzania|-6.369028|34.888822|3
Uganda|1.373333|32.290275|3
Saint Vincent and the Grenadines|12.984305|-61.287228|-4
Venezuela|6.42375|-66.58973|-4
British Virgin Islands|18.420695|-64.639968|-4
U.S. Virgin Islands|18.335765|-64.896335|-4
Vietnam|14.058324|108.277199|7
Yemen|15.552727|48.516388|3
Mayotte|-12.8275|45.166244|3
Zambia|-13.133897|27.849332|2
Zimbabwe|-19.015438|29.154857|2
